game_date,home_team,away_team,home_win,espn_pregame_home,espn_final_home,espn_wp_min,espn_wp_max,espn_lead_changes,espn_total_plays,espn_q1_end_wp,espn_q1_end_home_score,espn_q1_end_away_score,espn_q2_end_wp,espn_q2_end_home_score,espn_q2_end_away_score,espn_q3_end_wp,espn_q3_end_home_score,espn_q3_end_away_score,espn_q4_end_wp,model_home_prob,pm_pregame_home
2025-10-25,Atlanta Hawks,Oklahoma City Thunder,0,0.351,0.0,0.0,0.397,0.0,485.0,0.253,26.0,31.0,0.262,55.0,60.0,0.007,80.0,99.0,0.0,0.3569,
2025-10-25,Memphis Grizzlies,Indiana Pacers,1,0.499,1.0,0.446,1.0,3.0,524.0,0.6,6.0,3.0,0.763,60.0,52.0,0.99,103.0,84.0,1.0,0.6345,
2025-10-25,Denver Nuggets,Phoenix Suns,1,0.815,1.0,0.788,1.0,0.0,514.0,0.855,34.0,28.0,0.966,71.0,54.0,0.987,100.0,83.0,1.0,0.6686,
2025-10-26,San Antonio Spurs,Brooklyn Nets,1,0.808,1.0,0.267,1.0,4.0,498.0,0.872,31.0,24.0,0.984,69.0,48.0,0.86,88.0,81.0,1.0,0.6982,
2025-10-26,Detroit Pistons,Boston Celtics,1,0.612,1.0,0.175,1.0,10.0,538.0,0.335,24.0,33.0,0.631,60.0,58.0,0.952,94.0,81.0,1.0,0.6413,
2025-10-26,Washington Wizards,Charlotte Hornets,0,0.517,0.0,0.0,0.878,27.0,529.0,0.475,28.0,29.0,0.841,62.0,51.0,0.194,88.0,95.0,0.0,0.3608,
2025-10-26,Miami Heat,New York Knicks,1,0.478,0.982,0.323,1.0,37.0,503.0,0.404,24.0,27.0,0.585,57.0,54.0,0.81,88.0,81.0,0.982,0.6288,
2025-10-26,Cleveland Cavaliers,Milwaukee Bucks,1,0.722,1.0,0.54,1.0,0.0,519.0,0.641,29.0,31.0,0.857,65.0,56.0,0.659,86.0,84.0,1.0,0.4898,
2025-10-26,Minnesota Timberwolves,Indiana Pacers,1,0.752,0.906,0.405,1.0,8.0,539.0,0.69,28.0,28.0,0.561,58.0,60.0,0.545,66.0,68.0,0.906,0.599,
2025-10-26,Dallas Mavericks,Toronto Raptors,1,0.484,1.0,0.265,1.0,53.0,555.0,0.48,32.0,32.0,0.425,64.0,66.0,0.932,103.0,91.0,1.0,0.4465,
2025-10-26,Sacramento Kings,Los Angeles Lakers,0,0.663,0.0,0.0,0.772,31.0,513.0,0.359,27.0,36.0,0.579,62.0,62.0,0.575,79.0,78.0,0.0,0.4118,
2025-10-26,LA Clippers,Portland Trail Blazers,1,0.689,1.0,0.233,1.0,10.0,502.0,0.873,34.0,23.0,0.261,48.0,58.0,0.772,87.0,82.0,1.0,0.6286,
2025-10-27,Detroit Pistons,Cleveland Cavaliers,0,0.405,0.0,0.0,0.582,8.0,544.0,0.222,24.0,33.0,0.024,41.0,63.0,0.001,66.0,90.0,0.0,0.389,
2025-10-27,Philadelphia 76ers,Orlando Magic,1,0.435,1.0,0.406,1.0,7.0,507.0,0.601,33.0,28.0,0.837,72.0,60.0,0.8,101.0,94.0,1.0,0.6253,
