Date,Home,Away,season,ML_Home,ML_Away,Win_Margin,market_home,market_away,model_home_prob,model_away_prob,edge_home,edge_away,home_won,bet_side,bet_edge,model_prob,entry_price,bet_won,opp_won,is_favorite,home_q1_pts,away_q1_pts,q1_diff_home,q1_diff_bet,est_q1_bet_price,est_q1_opp_price
2012-11-03,San Antonio Spurs,Utah Jazz,2012-13,-335,275,10,0.7701149425287356,0.26666666666666666,0.549,0.451,-0.22111494252873554,0.18433333333333335,1,none,0.0,0.0,0.0,,,False,28.0,17.0,11.0,,,
2012-11-03,LA Clippers,Golden State Warriors,2012-13,-460,360,-4,0.8214285714285714,0.21739130434782608,,,,,0,none,0.0,0.0,0.0,,,False,24.0,33.0,-9.0,,,
2012-11-03,Milwaukee Bucks,Cleveland Cavaliers,2012-13,-300,250,3,0.75,0.2857142857142857,0.7118,0.2882,-0.03820000000000001,0.0024857142857143133,1,none,0.0,0.0,0.0,,,False,23.0,27.0,-4.0,,,
2012-11-03,Dallas Mavericks,Charlotte Hornets,2012-13,-625,475,27,0.8620689655172413,0.17391304347826086,,,,,1,none,0.0,0.0,0.0,,,False,31.0,19.0,12.0,,,
2012-11-03,Brooklyn Nets,Toronto Raptors,2012-13,-235,200,7,0.7014925373134329,0.3333333333333333,,,,,1,none,0.0,0.0,0.0,,,False,27.0,35.0,-8.0,,,
2012-11-03,Chicago Bulls,New Orleans Pelicans,2012-13,-580,455,-7,0.8529411764705882,0.18018018018018017,,,,,0,none,0.0,0.0,0.0,,,False,18.0,21.0,-3.0,,,
2012-11-03,Miami Heat,Denver Nuggets,2012-13,-445,355,3,0.8165137614678899,0.21978021978021978,0.6904,0.3096,-0.12611376146788988,0.08981978021978021,1,none,0.0,0.0,0.0,,,False,35.0,34.0,1.0,,,
2012-11-03,Indiana Pacers,Sacramento Kings,2012-13,-345,285,8,0.7752808988764045,0.2597402597402597,0.6804,0.3196,-0.0948808988764045,0.05985974025974028,1,none,0.0,0.0,0.0,,,False,18.0,24.0,-6.0,,,
2012-11-03,Washington Wizards,Boston Celtics,2012-13,200,-240,-3,0.3333333333333333,0.7058823529411765,0.4698,0.5302,0.13646666666666668,-0.1756823529411765,0,home,0.13646666666666668,0.4698,0.3333333333333333,False,True,False,12.0,26.0,-14.0,-14.0,0.20166666666666663,0.7983333333333333
2012-11-03,Houston Rockets,Portland Trail Blazers,2012-13,-230,195,-10,0.696969696969697,0.3389830508474576,0.6386,0.3614,-0.05836969696969707,0.022416949152542387,0,none,0.0,0.0,0.0,,,False,19.0,17.0,2.0,,,
2012-11-04,New York Knicks,Philadelphia 76ers,2012-13,-160,140,16,0.6153846153846154,0.4166666666666667,0.5887,0.4113,-0.026684615384615418,-0.005366666666666686,1,none,0.0,0.0,0.0,,,False,31.0,25.0,6.0,,,
2012-11-04,Toronto Raptors,Minnesota Timberwolves,2012-13,-160,140,19,0.6153846153846154,0.4166666666666667,0.3599,0.6401,-0.2554846153846154,0.22343333333333332,1,away,0.22343333333333332,0.6401,0.4166666666666667,False,True,True,25.0,24.0,1.0,-1.0,0.40525833333333333,0.5947416666666667
2012-11-04,Orlando Magic,Phoenix Suns,2012-13,-110,-110,21,0.5238095238095238,0.5238095238095238,0.6597,0.3403,0.13589047619047612,-0.18350952380952384,1,home,0.13589047619047612,0.6597,0.5238095238095238,True,False,True,26.0,33.0,-7.0,-7.0,0.44896190476190484,0.5510380952380951
2012-11-04,Oklahoma City Thunder,Atlanta Hawks,2012-13,-550,425,-9,0.8461538461538461,0.19047619047619047,0.5264,0.4736,-0.31975384615384617,0.28312380952380956,0,none,0.0,0.0,0.0,,,False,22.0,30.0,-8.0,,,
2012-11-04,Los Angeles Lakers,Detroit Pistons,2012-13,-360,300,29,0.782608695652174,0.25,0.4051,0.5949,-0.37750869565217393,0.3449,1,none,0.0,0.0,0.0,,,False,34.0,13.0,21.0,,,
2012-11-05,Sacramento Kings,Golden State Warriors,2012-13,-125,105,2,0.5555555555555556,0.4878048780487805,0.3568,0.6432,-0.19875555555555557,0.15539512195121952,1,away,0.15539512195121952,0.6432,0.4878048780487805,False,True,True,21.0,22.0,-1.0,1.0,0.4917195121951219,0.5082804878048781
2012-11-05,San Antonio Spurs,Indiana Pacers,2012-13,-410,335,22,0.803921568627451,0.22988505747126436,0.6581,0.3419,-0.145821568627451,0.11201494252873562,1,none,0.0,0.0,0.0,,,False,26.0,18.0,8.0,,,
2012-11-05,LA Clippers,Cleveland Cavaliers,2012-13,-700,500,-7,0.875,0.16666666666666666,,,,,0,none,0.0,0.0,0.0,,,False,28.0,31.0,-3.0,,,
2012-11-05,Memphis Grizzlies,Utah Jazz,2012-13,-210,175,9,0.6774193548387096,0.36363636363636365,0.5224,0.4776,-0.15501935483870966,0.11396363636363638,1,away,0.11396363636363638,0.4776,0.36363636363636365,False,True,False,18.0,25.0,-7.0,7.0,0.4319181818181818,0.5680818181818181
2012-11-05,Brooklyn Nets,Minnesota Timberwolves,2012-13,-350,290,-11,0.7777777777777778,0.2564102564102564,0.586,0.414,-0.19177777777777782,0.1575897435897436,0,none,0.0,0.0,0.0,,,False,31.0,27.0,4.0,,,
2012-11-05,Philadelphia 76ers,New York Knicks,2012-13,-140,120,-22,0.5833333333333334,0.45454545454545453,0.3532,0.6468,-0.23013333333333336,0.1922545454545455,0,away,0.1922545454545455,0.6468,0.45454545454545453,True,False,True,21.0,25.0,-4.0,4.0,0.4890727272727272,0.5109272727272728
2012-11-05,Miami Heat,Phoenix Suns,2012-13,-1700,1100,25,0.9444444444444444,0.08333333333333333,0.6605,0.3395,-0.28394444444444444,0.2561666666666667,1,none,0.0,0.0,0.0,,,False,34.0,25.0,9.0,,,
2012-11-05,Dallas Mavericks,Portland Trail Blazers,2012-13,-175,155,23,0.6363636363636364,0.39215686274509803,0.6358,0.3642,-0.0005636363636363217,-0.02795686274509801,1,none,0.0,0.0,0.0,,,False,31.0,27.0,4.0,,,
2012-11-06,Chicago Bulls,Orlando Magic,2012-13,-520,415,6,0.8387096774193549,0.1941747572815534,0.495,0.505,-0.3437096774193549,0.3108252427184466,1,none,0.0,0.0,0.0,,,False,23.0,24.0,-1.0,,,
2012-11-06,Oklahoma City Thunder,Toronto Raptors,2012-13,-505,400,20,0.8347107438016529,0.2,0.5552,0.4448,-0.27951074380165286,0.24479999999999996,1,none,0.0,0.0,0.0,,,False,30.0,17.0,13.0,,,
2012-11-06,Denver Nuggets,Detroit Pistons,2012-13,-670,495,12,0.8701298701298701,0.16806722689075632,0.4616,0.5384,-0.4085298701298701,0.3703327731092437,1,none,0.0,0.0,0.0,,,False,24.0,21.0,3.0,,,
2012-11-07,Golden State Warriors,Cleveland Cavaliers,2012-13,-240,200,10,0.7058823529411765,0.3333333333333333,0.5659,0.4341,-0.13998235294117656,0.10076666666666667,1,away,0.10076666666666667,0.4341,0.3333333333333333,False,True,False,37.0,21.0,16.0,-16.0,0.18246666666666664,0.8175333333333333
2012-11-07,Sacramento Kings,Detroit Pistons,2012-13,-270,230,2,0.7297297297297297,0.30303030303030304,0.5941,0.4059,-0.13562972972972975,0.10286969696969694,1,away,0.10286969696969694,0.4059,0.30303030303030304,False,True,False,26.0,27.0,-1.0,1.0,0.31701515151515147,0.6829848484848485
2012-11-07,Utah Jazz,Los Angeles Lakers,2012-13,-145,125,9,0.5918367346938775,0.4444444444444444,0.4813,0.5187,-0.11053673469387754,0.07425555555555563,1,away,0.07425555555555563,0.5187,0.4444444444444444,False,True,False,25.0,17.0,8.0,-8.0,0.3643222222222222,0.6356777777777778
2012-11-07,Dallas Mavericks,Toronto Raptors,2012-13,-300,250,5,0.75,0.2857142857142857,0.7449,0.2551,-0.005099999999999993,-0.030614285714285705,1,none,0.0,0.0,0.0,,,False,36.0,24.0,12.0,,,
